"",".ID.","camadasConvolucionais","maxpooling1","batchNormalization1","camadasDensas","dropout","learningIndex","batchIndex","numEpocas","maxpooling2","maxpooling3","maxpooling4","maxpooling5","maxpooling6","maxpooling7","maxpooling8","batchNormalization2","batchNormalization3","batchNormalization4","batchNormalization5","batchNormalization6","batchNormalization7","batchNormalization8","numFiltrosInd2","numFiltrosInd3","numFiltrosInd4","numFiltrosInd5","numFiltrosInd6","numFiltrosInd7","numFiltrosInd8","tamanhoFiltros2","tamanhoFiltros3","tamanhoFiltros4","tamanhoFiltros5","tamanhoFiltros6","tamanhoFiltros7","tamanhoFiltros8","neuroniosDensos1","neuroniosDensos2",".PARENT."
"34",34,3,0,0,3,0.09,2,6,204,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,7,11,NA,NA,NA,NA,NA,42,38,18
"35",35,2,0,0,2,0.49,4,5,44,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,92,NA,18
"36",36,5,0,0,1,0.31,3,6,98,0,1,0,1,NA,NA,NA,0,0,1,1,NA,NA,NA,6,5,6,5,NA,NA,NA,5,5,9,11,NA,NA,NA,NA,NA,18
"37",37,2,0,0,1,0.45,2,9,19,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,18
"38",38,3,0,0,3,0.45,4,4,139,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,3,11,NA,NA,NA,NA,NA,116,112,18
"39",39,4,0,0,2,0.22,4,6,95,0,1,1,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,6,5,5,NA,NA,NA,NA,5,9,9,NA,NA,NA,NA,116,NA,18
"40",40,2,0,0,1,0.37,2,5,90,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,18
"41",41,1,1,0,3,0.28,5,7,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,110,18
"42",42,2,0,0,2,0.05,3,5,188,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,32,NA,18
"43",43,2,0,0,2,0.22,5,9,178,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,38,NA,18
"44",44,2,0,0,2,0.19,5,4,27,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,90,NA,18
"45",45,1,0,1,3,0.41,4,9,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,62,18
"46",46,2,0,0,2,0.4,5,5,177,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,68,NA,18
"47",47,3,0,0,3,0.22,5,6,40,0,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,3,11,NA,NA,NA,NA,NA,102,82,38
"48",48,3,1,1,2,0.27,1,6,243,1,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,7,6,NA,NA,NA,NA,NA,5,9,NA,NA,NA,NA,NA,116,NA,38
"49",49,1,1,0,3,0.42,1,4,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,56,38
"50",50,6,1,0,3,0.5,4,5,269,0,1,1,1,1,NA,NA,0,0,1,0,0,NA,NA,7,6,6,8,7,NA,NA,3,9,11,7,9,NA,NA,72,118,38
"51",51,1,1,0,2,0.46,0,6,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,38
"52",52,1,0,0,1,0.36,3,4,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"53",53,1,0,0,1,0.29,3,4,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"54",54,2,0,1,1,0.42,2,5,79,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,18
"55",55,2,1,1,2,0.37,2,9,152,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,114,NA,18
"56",56,4,1,1,3,0.42,3,5,191,0,1,1,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,7,5,6,NA,NA,NA,NA,3,9,7,NA,NA,NA,NA,76,112,38
"57",57,4,0,1,2,0.23,4,4,137,0,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,5,5,7,NA,NA,NA,NA,9,11,3,NA,NA,NA,NA,18,NA,18
"58",58,2,0,0,1,0.31,4,8,30,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,18
"59",59,2,0,0,2,0.4,2,6,223,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,64,NA,18
"60",60,1,0,1,2,0.22,2,8,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,18
"61",61,2,0,0,2,0.35,4,6,133,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,108,NA,18
"62",62,4,1,0,2,0.29,3,7,207,0,0,0,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,7,6,8,NA,NA,NA,NA,7,9,7,NA,NA,NA,NA,12,NA,18
"63",63,1,0,0,1,0.35,4,5,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"64",64,1,0,0,2,0.16,0,4,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,18
"65",65,4,0,0,1,0.02,4,6,149,0,0,1,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,7,5,7,NA,NA,NA,NA,7,9,3,NA,NA,NA,NA,NA,NA,18
"66",66,1,1,0,3,0.12,3,5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,94,38
"67",67,1,0,0,2,0.28,5,4,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,18
"68",68,1,0,0,2,0.02,0,8,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,18
"69",69,1,0,0,3,0.42,1,7,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,98,38
"70",70,1,0,0,3,0.41,5,5,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,36,38
"71",71,1,0,1,2,0.46,2,4,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,38
"72",72,2,0,0,3,0.24,2,5,30,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,104,14,18
"73",73,7,0,1,2,0.01,5,8,197,1,1,0,0,0,1,NA,0,0,1,0,0,0,NA,7,6,8,7,8,6,NA,5,11,9,5,9,7,NA,82,NA,18
"74",74,6,0,0,2,0.31,3,8,212,0,1,0,1,1,NA,NA,1,1,0,0,0,NA,NA,6,5,8,6,7,NA,NA,11,9,3,3,3,NA,NA,68,NA,38
"75",75,2,0,0,2,0.38,3,6,86,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,56,NA,38
"76",76,1,0,1,1,0.2,5,5,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"77",77,2,0,1,2,0.33,1,5,81,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,106,NA,18
"78",78,2,0,0,3,0.32,5,4,198,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,96,122,38
"79",79,3,1,0,2,0.39,2,6,164,0,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,7,6,NA,NA,NA,NA,NA,3,9,NA,NA,NA,NA,NA,106,NA,18
"80",80,3,0,0,1,0.14,3,5,39,0,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,18
"81",81,1,0,0,3,0.29,3,5,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,60,18
"82",82,2,0,1,2,0.26,3,4,264,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,56,NA,18
"83",83,3,0,1,2,0.37,4,4,190,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,3,7,NA,NA,NA,NA,NA,26,NA,18
"84",84,1,1,0,2,0.13,2,4,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,18
"85",85,2,0,0,1,0.29,3,4,191,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,18
"86",86,2,0,0,1,0.37,3,7,137,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,18
"87",87,3,0,1,1,0.09,3,10,35,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,18
"88",88,1,0,0,2,0.3,2,4,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,18
"89",89,2,0,0,1,0.41,3,5,132,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,18
"90",90,1,0,0,2,0.13,4,5,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,18
"91",91,1,0,0,2,0.25,4,6,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,18
"92",92,5,0,0,3,0.31,4,4,108,0,1,1,0,NA,NA,NA,0,0,0,1,NA,NA,NA,6,5,8,8,NA,NA,NA,7,7,11,11,NA,NA,NA,80,112,38
"93",93,1,0,0,1,0.11,3,5,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"94",94,2,0,0,2,0.33,2,6,68,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,76,NA,18
"95",95,1,0,0,1,0.22,2,5,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"96",96,1,0,0,2,0.2,3,8,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,18
"97",97,2,0,0,2,0.36,3,4,186,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,114,NA,18
"98",98,1,0,0,1,0.06,1,5,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"99",99,2,0,0,2,0.06,2,7,71,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,34,NA,18
"100",100,1,0,1,2,0.1,4,4,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,18
"101",101,3,1,0,2,0.04,5,9,86,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,40,NA,18
"102",102,1,1,0,1,0.14,0,6,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"103",103,2,1,0,2,0.05,4,4,153,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,16,NA,18
"104",104,1,0,0,2,0.07,2,7,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,18
"105",105,1,0,0,1,0.4,4,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"106",106,1,0,0,3,0.36,5,7,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,106,18
"107",107,2,0,0,1,0.3,5,7,98,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,18
"108",108,5,1,0,1,0.23,1,4,227,1,1,1,0,NA,NA,NA,0,0,0,0,NA,NA,NA,5,5,6,5,NA,NA,NA,5,11,7,3,NA,NA,NA,NA,NA,18
"109",109,1,1,0,1,0.46,5,6,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"110",110,1,0,0,2,0.33,2,4,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,38
"111",111,1,0,0,1,0.38,3,5,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"112",112,3,0,0,1,0.23,4,5,125,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,5,11,NA,NA,NA,NA,NA,NA,NA,18
"113",113,5,1,0,2,0.17,5,10,54,0,1,0,1,NA,NA,NA,1,0,1,0,NA,NA,NA,6,6,6,5,NA,NA,NA,3,11,7,7,NA,NA,NA,30,NA,18
"114",114,3,0,0,2,0.35,3,4,123,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,5,9,NA,NA,NA,NA,NA,96,NA,38
"115",115,1,0,0,2,0.36,3,7,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,18
"116",116,1,0,0,2,0.15,4,8,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,18
"117",117,3,0,0,2,0.41,4,6,70,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,90,NA,18
"118",118,3,0,0,3,0.3,2,6,50,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,70,116,38
"119",119,4,1,0,2,0.18,1,8,191,0,1,1,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,5,5,6,NA,NA,NA,NA,7,7,7,NA,NA,NA,NA,108,NA,18
"120",120,1,0,0,1,0.09,2,10,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
