"",".ID.","camadasConvolucionais","maxpooling1","batchNormalization1","camadasDensas","dropout","learningIndex","batchIndex","numEpocas","maxpooling2","maxpooling3","maxpooling4","maxpooling5","maxpooling6","maxpooling7","maxpooling8","batchNormalization2","batchNormalization3","batchNormalization4","batchNormalization5","batchNormalization6","batchNormalization7","batchNormalization8","numFiltrosInd2","numFiltrosInd3","numFiltrosInd4","numFiltrosInd5","numFiltrosInd6","numFiltrosInd7","numFiltrosInd8","tamanhoFiltros2","tamanhoFiltros3","tamanhoFiltros4","tamanhoFiltros5","tamanhoFiltros6","tamanhoFiltros7","tamanhoFiltros8","neuroniosDensos1","neuroniosDensos2",".PARENT."
"11",11,2,1,0,1,0.14,1,10,35,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,5,1,1,1,0.15,3,7,230,1,1,1,0,NA,NA,NA,0,0,1,0,NA,NA,NA,6,5,8,8,NA,NA,NA,9,9,11,9,NA,NA,NA,NA,NA,1
"13",13,5,1,1,1,0.28,5,5,146,1,1,0,1,NA,NA,NA,0,0,0,1,NA,NA,NA,5,8,6,7,NA,NA,NA,5,5,3,11,NA,NA,NA,NA,NA,1
"14",14,1,1,1,3,0.04,4,6,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,72,1
"15",15,2,1,0,2,0.38,5,4,128,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,124,NA,1
"16",16,1,1,0,2,0.07,1,8,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,1
"17",17,2,1,1,2,0.32,4,6,123,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,28,NA,1
"18",18,4,1,1,1,0.09,5,5,171,1,0,1,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,5,7,7,NA,NA,NA,NA,7,7,11,NA,NA,NA,NA,NA,NA,1
"19",19,3,1,1,2,0.09,3,5,252,1,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,3,7,NA,NA,NA,NA,NA,122,NA,1
"20",20,5,0,1,2,0.26,4,5,239,1,1,1,1,NA,NA,NA,0,1,0,0,NA,NA,NA,5,6,6,7,NA,NA,NA,7,7,3,9,NA,NA,NA,66,NA,1
"21",21,1,1,1,1,0.14,1,4,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"22",22,2,1,1,2,0.28,4,9,285,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,62,NA,1
"23",23,2,1,1,2,0.48,2,5,126,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,84,NA,1
"24",24,1,1,1,1,0.24,5,9,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"25",25,2,1,1,2,0.38,4,5,101,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,40,NA,1
"26",26,2,1,1,2,0.34,3,4,160,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,88,NA,1
"27",27,4,1,0,1,0.3,3,10,90,1,1,1,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,6,8,6,NA,NA,NA,NA,7,7,3,NA,NA,NA,NA,NA,NA,1
"28",28,1,1,1,2,0.29,5,6,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1
"29",29,3,1,0,1,0.39,5,9,272,1,0,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,5,8,NA,NA,NA,NA,NA,9,3,NA,NA,NA,NA,NA,NA,NA,1
"30",30,1,1,1,1,0.2,2,5,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"31",31,1,0,1,1,0.34,3,4,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"32",32,4,1,0,2,0.34,4,9,150,1,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,7,6,7,NA,NA,NA,NA,9,7,11,NA,NA,NA,NA,100,NA,1
"33",33,5,1,1,2,0.11,4,8,69,1,0,1,1,NA,NA,NA,0,0,1,0,NA,NA,NA,6,6,6,7,NA,NA,NA,7,11,7,5,NA,NA,NA,94,NA,1
"34",34,3,0,1,3,0.18,3,6,142,1,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,9,3,NA,NA,NA,NA,NA,12,34,1
"35",35,4,1,1,1,0.22,2,9,249,1,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,6,8,7,NA,NA,NA,NA,5,3,7,NA,NA,NA,NA,NA,NA,1
"36",36,3,1,1,1,0.18,0,9,122,1,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,5,7,NA,NA,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,1
"37",37,1,1,1,1,0.25,4,6,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"38",38,1,1,1,1,0.18,5,5,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"39",39,2,1,1,1,0.34,4,6,207,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1
"40",40,1,1,1,1,0.36,5,8,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"41",41,2,1,1,1,0.47,1,7,120,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1
"42",42,3,1,1,1,0.07,1,4,162,1,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,6,8,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,1
"43",43,1,1,1,2,0.2,5,5,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,1
"44",44,3,1,1,1,0.23,4,6,242,1,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,25
"45",45,1,1,1,2,0.35,5,6,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,1
"46",46,1,1,1,2,0.34,5,5,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,1
"47",47,1,1,1,1,0.31,3,5,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"48",48,1,0,1,1,0.28,4,7,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"49",49,2,1,1,2,0.27,3,9,218,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,42,NA,1
"50",50,3,1,0,1,0.32,3,8,235,1,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,3,11,NA,NA,NA,NA,NA,NA,NA,32
"51",51,2,1,1,2,0.44,5,4,227,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,26,NA,25
"52",52,3,1,1,3,0.23,4,8,235,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,9,5,NA,NA,NA,NA,NA,72,28,1
"53",53,1,0,1,1,0.02,4,6,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"54",54,1,0,1,2,0.26,5,9,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,25
"55",55,4,0,0,1,0.16,3,8,47,1,1,0,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,5,5,6,NA,NA,NA,NA,9,11,11,NA,NA,NA,NA,NA,NA,32
"56",56,1,1,1,1,0.39,3,6,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"57",57,2,0,1,1,0.31,3,9,261,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,39
"58",58,3,1,1,2,0.35,5,5,263,1,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,7,9,NA,NA,NA,NA,NA,4,NA,1
"59",59,1,1,1,1,0.14,3,6,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
