"",".ID.","camadasConvolucionais","maxpooling1","batchNormalization1","camadasDensas","dropout","learningIndex","batchIndex","numEpocas","maxpooling2","maxpooling3","maxpooling4","maxpooling5","maxpooling6","maxpooling7","maxpooling8","batchNormalization2","batchNormalization3","batchNormalization4","batchNormalization5","batchNormalization6","batchNormalization7","batchNormalization8","numFiltrosInd2","numFiltrosInd3","numFiltrosInd4","numFiltrosInd5","numFiltrosInd6","numFiltrosInd7","numFiltrosInd8","tamanhoFiltros2","tamanhoFiltros3","tamanhoFiltros4","tamanhoFiltros5","tamanhoFiltros6","tamanhoFiltros7","tamanhoFiltros8","neuroniosDensos1","neuroniosDensos2",".PARENT."
"37",37,1,0,0,1,0.14,3,4,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"38",38,2,0,0,1,0.29,4,6,77,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,5
"39",39,1,1,1,1,0.38,1,4,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"40",40,1,0,0,1,0.1,3,5,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"41",41,2,0,0,1,0.35,5,5,72,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,17
"42",42,1,1,0,2,0.12,5,4,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,17
"43",43,1,0,0,1,0.25,3,6,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"44",44,1,1,0,1,0.42,1,8,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"45",45,1,0,0,1,0.33,3,6,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"46",46,1,0,0,1,0.21,2,6,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"47",47,1,0,1,1,0.31,2,4,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"48",48,2,1,1,2,0.39,3,7,114,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,36,NA,16
"49",49,4,0,0,2,0.38,4,4,33,1,0,1,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,8,5,8,NA,NA,NA,NA,7,5,9,NA,NA,NA,NA,86,NA,5
"50",50,3,1,1,1,0.26,3,7,248,1,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6,8,NA,NA,NA,NA,NA,11,3,NA,NA,NA,NA,NA,NA,NA,8
"51",51,2,1,1,1,0.08,3,7,39,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,16
"52",52,2,1,1,1,0.36,5,8,84,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,16
"53",53,4,0,0,1,0.35,3,6,273,0,1,1,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,8,6,7,NA,NA,NA,NA,3,11,7,NA,NA,NA,NA,NA,NA,17
"54",54,1,1,0,1,0.49,3,4,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"55",55,6,0,1,1,0.19,2,4,283,1,1,1,0,0,NA,NA,1,0,1,0,1,NA,NA,6,5,7,5,5,NA,NA,9,5,7,9,3,NA,NA,NA,NA,5
"56",56,2,0,0,1,0.16,3,6,215,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,5
"57",57,1,0,0,2,0.4,2,5,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,17
"58",58,2,0,0,1,0.37,2,8,58,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,17
"59",59,5,1,1,2,0.3,5,6,226,0,0,1,1,NA,NA,NA,1,0,0,1,NA,NA,NA,5,5,6,5,NA,NA,NA,3,11,9,7,NA,NA,NA,104,NA,8
"60",60,2,1,0,1,0.18,4,6,260,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5
"61",61,3,1,1,1,0.39,1,8,13,1,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,5,8,NA,NA,NA,NA,NA,9,7,NA,NA,NA,NA,NA,NA,NA,16
"62",62,1,1,1,1,0.33,2,5,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"63",63,2,1,1,1,0.04,2,7,140,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,16
"64",64,1,1,0,2,0.14,5,8,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,17
"65",65,2,1,1,2,0.08,2,8,79,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,28,NA,16
"66",66,1,1,1,2,0.31,4,6,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,16
"67",67,1,1,1,1,0.46,2,8,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"68",68,1,1,1,1,0.01,1,5,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"69",69,4,1,1,1,0.35,3,8,78,1,0,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,7,8,5,NA,NA,NA,NA,3,7,7,NA,NA,NA,NA,NA,NA,16
"70",70,2,0,1,2,0.26,3,6,235,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,14,NA,5
"71",71,5,0,0,1,0.09,1,5,167,1,0,1,0,NA,NA,NA,1,0,1,1,NA,NA,NA,7,5,8,6,NA,NA,NA,7,7,11,11,NA,NA,NA,NA,NA,5
"72",72,1,0,0,1,0.09,4,5,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"73",73,3,0,1,3,0.09,5,8,113,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,50,48,17
"74",74,3,1,1,1,0.34,3,7,54,1,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,9,7,NA,NA,NA,NA,NA,NA,NA,16
"75",75,1,1,0,1,0.08,3,9,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"76",76,2,1,0,1,0.04,5,4,255,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5
"77",77,1,1,1,1,0.44,2,6,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"78",78,1,0,0,1,0.41,5,5,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
"79",79,1,1,0,1,0.17,5,9,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"80",80,2,1,0,2,0.2,5,7,69,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,20,NA,1
"81",81,1,1,1,1,0.21,1,6,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"82",82,2,1,0,1,0.41,3,6,212,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1
"83",83,1,1,1,2,0.24,4,5,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,8
"84",84,2,1,1,1,0.32,4,6,78,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,16
"85",85,2,0,0,1,0.31,3,5,212,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,5
"86",86,1,1,1,1,0.19,4,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"87",87,1,1,1,2,0.43,1,8,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,8
"88",88,5,0,0,1,0.17,3,5,103,1,0,1,0,NA,NA,NA,0,0,1,0,NA,NA,NA,8,6,7,5,NA,NA,NA,7,5,11,5,NA,NA,NA,NA,NA,5
"89",89,4,1,1,1,0.36,4,4,68,1,0,0,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,7,8,7,NA,NA,NA,NA,11,5,11,NA,NA,NA,NA,NA,NA,16
"90",90,3,0,0,1,0.35,4,6,142,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,8,5,NA,NA,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,17
"91",91,1,1,0,1,0.35,5,7,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"92",92,5,0,0,1,0.33,5,5,80,1,0,1,0,NA,NA,NA,1,1,1,0,NA,NA,NA,8,5,6,8,NA,NA,NA,9,3,9,5,NA,NA,NA,NA,NA,5
"93",93,3,0,0,2,0.32,4,5,102,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,9,11,NA,NA,NA,NA,NA,96,NA,17
"94",94,1,1,0,1,0.27,1,8,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"95",95,6,0,0,1,0.32,3,6,119,1,0,1,0,0,NA,NA,1,0,1,1,0,NA,NA,8,5,6,6,8,NA,NA,5,3,7,3,11,NA,NA,NA,NA,5
"96",96,3,0,1,1,0.39,4,6,201,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,11,7,NA,NA,NA,NA,NA,NA,NA,16
"97",97,3,0,0,2,0.4,3,10,146,0,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,5,9,NA,NA,NA,NA,NA,32,NA,17
"98",98,1,1,1,1,0.26,5,6,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"99",99,1,0,0,2,0.02,1,8,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,31
"100",100,1,1,1,1,0.21,5,5,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"101",101,1,0,0,1,0.02,4,6,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"102",102,2,0,0,1,0.09,2,6,19,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,5
"103",103,1,0,0,1,0.33,3,4,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"104",104,2,1,1,1,0.21,5,7,239,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,8
"105",105,3,0,0,2,0.29,1,7,195,1,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,8,6,NA,NA,NA,NA,NA,11,7,NA,NA,NA,NA,NA,92,NA,5
"106",106,1,1,1,2,0.3,1,9,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,1
"107",107,1,0,0,2,0.06,4,4,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,17
"108",108,1,1,1,1,0.44,4,7,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"109",109,3,0,0,1,0.23,4,8,213,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,5,7,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,1
"110",110,2,0,0,1,0.05,4,5,151,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,5
"111",111,3,1,1,1,0.31,3,5,191,1,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,16
"112",112,2,1,1,2,0.46,5,6,256,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,18,NA,8
"113",113,5,0,0,2,0.05,5,9,207,0,1,1,0,NA,NA,NA,0,0,0,0,NA,NA,NA,5,5,6,8,NA,NA,NA,3,11,5,5,NA,NA,NA,74,NA,17
"114",114,2,1,1,1,0.44,2,7,279,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,8
"115",115,2,1,0,1,0.36,5,7,110,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1
"116",116,2,1,1,1,0.42,5,6,220,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,8
"117",117,2,1,1,3,0.15,1,8,290,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,120,26,8
"118",118,1,0,0,1,0.42,5,5,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"119",119,1,0,1,2,0.23,4,7,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,16
"120",120,2,1,0,1,0.48,5,9,36,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1
